$^あー……何と言ったかな……そうそう、(.+?)ちゃんだ。$	아―…… 뭐라고 말했을까나…… 그래그래, $1짱이다.
$^怒張したペニスで奥を突かれ、そのまま大量の精液を出された(.+?)の膣内が絶頂に震える。$	노장[怒張] 한 페니스로 안쪽을 찔려 그대로 대량의 정액을 나온 $1의 질내가 절정에 떨린다.
$^絶頂した(.+?)の身体が、熱い吐息を零しながらビクビクと痙攣する。$	절정한 $1의 신체가, 뜨거운 한숨을 흘리면서 움찔움찔 경련한다.
$^その余韻に浸りながら、(.+?)はゆっくりと呼吸を整えていく。$	그 여운에 잠기면서, $1는 천천히 호흡을 정돈해 간다.
$^ねえ、(.+?)。お客様にも、こんなに精液出されたの？$	저기, $1. 손님에게도, 이렇게 정액 나왔어?
$^背徳的な感情に任せて、俺は(.+?)にそんな事を聞いた。$	배덕적인 감정에 맡겨, 나는 $1에 그런 일을 (들)물었다.
$^(.+?)は、絶頂と中出しの興奮がまだ残っている様子だった。$	$1는, 절정과 질내사정의 흥분이 아직 남아 있는 모습이었다.
$^あぁ……。(.+?)の口から聞くと、興奮するよ。$	아……. $1의 입으로부터 (들)물으면, 흥분한다.
$^それからしばらく、俺と(.+?)は余韻を感じていた。$	그리고 당분간, 나와 $1는 여운을 느끼고 있었다.
$^すでに二度射精していたが、(.+?)の言葉に、俺のペニスは再び硬さを取り戻し始めていた。$	벌써 두 번 사정하고 있었지만, $1의 말에, 나의 페니스는 다시 딱딱함을 되찾기 시작하고 있었다.
$^(.+?)が、こちらへ向けてお尻を突き出した格好を取る。$	$1가, 이쪽으로 향하여 엉덩이를 쑥 내민 모습을 취한다.
$^その言葉を聞きながら、俺はペニスの先端を(.+?)の尻穴にあてがう。$	그 말을 (들)물으면서, 나는 페니스의 첨단을 $1의 엉덩이구멍에 준다.
$^すでに大きく膨れ上がっていたペニスを、(.+?)の尻の中に押し込む。$	벌써 크게 부풀어 오르고 있던 페니스를, $1의 엉덩이안에 밀어넣는다.
$^気持ち良さそうだね、(.+?)。$	기분 좋은 것 같다, $1.
$^恥ずかしがりながらも、(.+?)は嬉しそうに甘い声を漏らす。$	부끄러워하면서도, $1는 기쁜듯이 달콤한 소리를 흘린다.
$^(.+?)が快楽に声を上擦らせる。$	$1가 쾌락에 소리를 들뜨게 한다.
$^お客様の名前を呼びながら、イかされて……アソコに、たっぷり精液出されたんだよね？　(.+?)はさ……ちょっとくらい、お客様に本気にならなかったのかな？$	손님의 이름을 부르면서, 가게 되어…… 저기에, 충분히 정액 나온 것이지요? $1는…… 조금 정도, 손님에게 진지해지지 않았던 것일까?
$^切なそうに、(.+?)は否定する。$	안타까운 듯이, $1는 부정한다.
$^尻穴を突かれながら、(.+?)は甘い声で喘ぐ。$	엉덩이구멍을 찔리면서, $1는 달콤한 소리로 허덕인다.
$^必死で言う(.+?)の言葉を聞いて、俺は不思議と気分が良くなる。$	필사적으로 말하는 $1의 말을 (들)물어, 나는 이상하게 기분이 좋아진다.
$^それなら(.+?)……もっと淫らになってよ。$	그렇다면 $1…… 좀 더 추잡하게 되어요.
$^恥ずかしがって渋る(.+?)の尻穴への抽送を激しくした。$	부끄러워해 꺼리는 $1의 엉덩이구멍에의 삽입질을 격렬하게 했다.
$^尻穴でペニスを締め付けながら(.+?)は嬌声を上げ、観念したかのように声を出す。$	엉덩이구멍으로 페니스를 단단히 조이면서 $1는 교성을 올려, 체념했는지와 같이 소리를 낸다.
$^(.+?)の口から淫らなおねだりを聞いて、さらに興奮してしまう。$	$1의 입으로부터 추잡한 졸라댐을 (들)물어, 한층 더 흥분해 버린다.
$^その瞬間、俺は(.+?)の尻穴に精液を大量に注ぎ込んだ。$	그 순간, 나는 $1의 엉덩이구멍에 정액을 대량으로 쏟았다.
$^尻穴に精液を吐き出されながら、(.+?)の身体も絶頂に震え、ペニスを締め上げて精液を搾り取る。$	엉덩이구멍에 정액을 토해내지면서, $1의 신체도 절정에 떨려, 페니스를 졸라 정액을 짜낸다.
$^快楽に朦朧としながら、(.+?)が熱い吐息を吐き出す。$	쾌락에 몽롱해지면서, $1가 뜨거운 한숨을 토해낸다.
$^(.+?)を見ながら、俺は背徳的な余韻に浸るのだった。$	$1를 보면서, 나는 배덕적인 여운에 잠기는 것이었다.
$^(.+?)は、どこか気まずそうに視線を逸らした。$	$1는, 어딘가 어색한 것 같게 시선을 피했다.
$^（(.+?)が嫌がる話を、わざわざ掘り返すのも良くないな）$	($1가 싫어하는 이야기를, 일부러 파내는 것도 좋지 않는구나)
$^(.+?)を他の男に寝取らせる。$	$1를 다른 남자에게 네토리하게 한다.
$^おお、そうか！　ありがとう！　そうそう、(.+?)ちゃんに代ってくれるかな？$	그런가! 고마워요! 그래그래, $1짱을 대신해 줄까나?
$^(.+?)は傍に控えて居るし、特に断る理由も無い。$	$1는 옆에 앞두어 있고, 특별히 거절할 이유도 없다.
$^そう思いつつ、俺は(.+?)を呼び出した。$	그렇게 생각하면서, 나는 $1을 호출했다.
$^実はね、この前のお客様が(.+?)のことを気に入ってくれたんだけど、また頼めるかな？$	실은 말야, 지난 번의 손님이 $1의 일을 마음에 들어 준 것이지만, 또 부탁할 수 있을까나?
$^俺がそう切り出すと、(.+?)の表情が一瞬だけ強張る。$	내가 그렇게 자르면, $1의 표정이 일순간만 굳어진다.
$^そうか。それで、お客様と電話の最中なんだけれど、(.+?)に代わって欲しいそうだから。$	그런가. 그래서, 손님과 전화의 한중간이지만, $1에 대신했으면 좋다고 하기 때문에.
$^途中、(.+?)が少し表情を険しくさせ、俺の方を見た。$	도중, $1가 조금 표정을 험하고시켜, 내 쪽을 보았다.
$^電話を切った(.+?)に、念の為に尋ねてみる。$	전화를 끊은 $1에, 만약을 위해 물어 본다.
$^(.+?)は答えをはぐらかしている。$	$1는 대답을 얼버무리고 있다.
$^(.+?)は特に変わった様子もなく、そのまま俺の部屋を出て行った。$	$1는 특별히 바뀐 모습도 없고, 그대로 나의 방을 나갔다.
$^やあ、(.+?)ちゃん。約束通り、また来たよ。$	야, $1짱. 약속대로, 또 왔어.
$^ああ、私はそれほど困らないよ。もちろん、(.+?)ちゃんに会えないのは残念だけれどね。$	아, 나는 그만큼 곤란하지 않아. 물론, $1짱을 만날 수 없는 것은 유감이지만 말야.
$^おお……うんうん、約束は守っているようだね。偉いよ、(.+?)ちゃん。$	오오…… 우응우응, 약속은 지키고 있는 것 같다. 훌륭해, $1짱.
$^乾杯！　ゴク、ゴク……ふぅ、やっぱり美味いな。(.+?)ちゃんもそう思うだろう？$	건배! 꿀꺽, 꿀꺽…… 후우, 역시 맛있는데. $1짱도 그렇게 생각하겠지?
$^なぁんだ、(.+?)ちゃんはエッチなことがしたかったのか。$	뭐야, $1짱은 엣치한 일을 하고 싶었던 것일까.
$^やれやれ、(.+?)ちゃんは我儘だな……$	아휴, $1짱은 멋대로이다……
$^(.+?)ちゃんばっかり感じてちゃ、ずるいよね？　そろそろ私のことも、気持ち良くしてくれるかな。$	$1짱뿐 느끼고 있어서는, 간사하지요? 슬슬 나의 일도, 기분 좋게 해 줄까나.
$^おお、そうか、そうか！　やっぱり(.+?)ちゃんは、良く出来たメイドだね！　ほら、頼むよ。$	그런가, 그런가! 역시 $1짱은, 잘 할 수 있던 메이드구나! 이봐요, 부탁한다.
$^おおう……(.+?)ちゃん上手いね、私はそこが弱いんだよ。$	감싸는…… $1짱 능숙하다, 나는 거기가 약해.
$^いやぁ、(.+?)ちゃんはサービスが良くていいね。じゃあ、私もお返しを……$	아니, $1짱은 서비스가 좋아서 좋다. 그러면, 나도 답례를……
$^今度は一緒に気持ち良くなろうか？　(.+?)ちゃんが気持ち良くしてくれれば、その分だけ振動を強くするからね。$	이번은 함께 기분 좋아질까? $1짱이 기분 좋게 해 주면, 그 만큼 진동을 강하게 하니까요.
$^ご主人様にバレなければ、みんな幸せになれるんだよ？　私は(.+?)ちゃんと良いことが出来て、彼にも莫大な報酬が入り、そして君はご主人様に喜んで貰える……$	주인님에 들키지 않으면, 모두 행복하게 될 수 있는거야? 나는 $1짱과 좋은 일이 되어있어 그에게도 막대한 보수가 들어와, 그리고 너는 주인님에 기뻐해 받을 수 있다……
$^おおう……いいよ、いいよ(.+?)ちゃん……！$	감싸는…… 좋아, 좋아 $1짱……!
$^うぅ……そろそろ出すよ、(.+?)ちゃん！$	…… 슬슬 내는, $1짱!
$^ふぅ……どうしたの、(.+?)ちゃん？　早く飲みなさい。$	…… 무슨 일이야, $1짱? 빨리 마시세요.
$^この前より積極的で、楽しかったよ、(.+?)ちゃん。$	일전에보다 적극적으로, 즐거웠어요, $1짱.
$^ははは、(.+?)ちゃんは本当に恥ずかしがりだねぇ。それじゃあ。$	하하하, $1짱은 정말로 부끄럽게 여기기구나. 그러면.
$^そうか、ありがとう。またよろしくね、(.+?)。$	그런가, 고마워요. 또 잘 부탁해, $1.
$^やはり今回も、(.+?)を指名しての接待の依頼。$	역시 이번도, $1를 지명한 접대의 의뢰.
$^だが、それ以上に俺は、(.+?)があの客に抱かれる姿を想像し、言いようのない興奮を覚えていた。$	하지만, 그 이상으로 나는, $1가 그 손님에게 안기는 모습을 상상해, 말할 길 없는 흥분을 느끼고 있었다.
$^……しかし、(.+?)は俺の専属メイドだ。$	……그러나, $1은 나의 전속 메이드다.
$^流石に専属メイドの(.+?)の秘部をお客様に捧げてしまうのは抵抗がある。$	분명 전속 메이드인 $1의 음부를 고객에게 바치는 것은 저항이 있다.
$^(.+?)は専属メイドで御座います。秘部でのセックスはご勘弁を。$	$1는 전속 메이드입니다. 음부로 하는 섹스는 부디 용서를.
$^……(.+?)は、尻穴での経験があります。$	……$1는, 엉덩이구멍에서의 경험이 있습니다.
$^私はアナルセックスが好きでね……そうかそうか、(.+?)ちゃんの尻穴を好きにできるのか、ははっ。$	나는 애널 섹스를 좋아해…… 그런가 그런가, $1짱의 엉덩이구멍을 마음대로 할 수 있는지, 하핫.
$^(.+?)の尻穴……俺の開発した尻穴を、他の男に好きにされてしまう。$	$1의 엉덩이구멍…… 나의 개발한 엉덩이구멍을, 다른 남자에게 좋아하게 되어 버린다.
$^やあ、(.+?)ちゃん。また遊びに来たよ。$	야, $1짱. 또 놀러 왔어.
$^私はいいから、(.+?)ちゃんが飲みなさい。$	나는 좋으니까, $1짱이 마시세요.
$^ふふ、本当に美味しそうに飲むね、(.+?)ちゃんは。$	후후, 정말로 맛있을 것 같게 마시네요, $1짱은.
$^ハァ……ふぅん、そうか……しっかりと接待してくれないのなら、この店に来る意味は無いんだけどねぇ……それは分かってるよね、(.+?)ちゃん？$	하…… 후응, 그런가…… 제대로 접대해 주지 않는다면, 이 가게에 오는 의미는 없지만…… 그것은 알고 있네요, $1짱?
$^ははは、それは困るなぁ。(.+?)ちゃんに辞められるのは、私の本意でも無いからねぇ。$	하하하, 그것은 곤란하구나. $1짱이 그만둘 수 있는 것은, 나의 본의도 아니니까.
$^そんなことない？　この音が聞こえないかな、(.+?)ちゃんには？$	그렇지 않아? 이 소리가 들리지 않을까, $1짱에게는?
$^嘘はいけないなぁ、(.+?)ちゃん。ちょっと飲んだくらいで、こうはならないよ。本当は気持ち良いんだろう？$	거짓말은 안 되는구나, $1짱. 조금 마신 정도로, 이렇게는 안 돼. 사실은 기분 좋을 것이다?
$^この前のように素直に感じて、乱れた可愛い(.+?)ちゃんを見せてよ、ね？$	일전에와 같이 솔직하게 느껴, 흐트러진 사랑스러운 $1짱을 보, 여요?
$^相変わらず(.+?)ちゃんは強情だねぇ。まあ、そこが堪らないんだが……ふふっ。$	변함 없이 $1짱은 고집이 있다. 뭐, 거기가 견딜 수 없지만…… 후훗.
$^さあ、どうする？　(.+?)ちゃんが決めて良いんだよ？$	자, 어떻게 해? $1짱이 결정해도 좋아?
$^そろそろ決めなさい、(.+?)ちゃん。$	슬슬 결정하세요, $1짱.
$^ああ、構わないよ。それなら(.+?)ちゃんもいいだろう？　この前だって、してくれたんだからね。$	아, 상관없어. 그렇다면 $1짱도 좋을 것이다? 일전에도, 해 준 것이니까.
$^おおう……いいね、(.+?)ちゃん……$	감싸는…… 좋다, $1짱……
$^おお……凄いね、今日は随分と積極的だ。(.+?)ちゃんも興奮してるのかな？$	…… 굉장하다, 오늘은 상당히 적극적이다. $1짱도 흥분하고 있는 것일까?
$^もういいよ、(.+?)ちゃん。$	이제 되었어, $1짱.
