$^遠いところありがとうね、(.+?)くん。$	먼 곳까지 와줘서 고마워요, $1군.
$^(.+?)、何を読んでるの？$	$1, 뭐 읽고 있어?
$^誓って言うよ、今のは本当に偶然……でもそんな本を読んでるなんて、(.+?)は勉強熱心だね。$	결코 말한다, 지금 것은 정말로 우연…… 그렇지만 그런 책을 읽고 있는, $1는 공부 열심이다.
$^……もう本に集中してる。(.+?)の邪魔しないように、静かに移動しよう。$	…… 이제(벌써) 책에 집중하고 있다. $1의 방해 하지 않도록, 조용하게 이동하자.
$^あれ、(.+?)？　こんなところで何をしてるんだ。$	어라, $1? 이런 곳에서 무엇을 하고 있다.
$^へえ。偉いね、(.+?)は。$	에. 훌륭하다, $1는.
$^あっち行ってって言われても……あれ？　(.+?)、その本って……$	저쪽 가라고 말해져도…… 어? $1, 그 책은……
$^それって、夜伽の為の本だよね？　(.+?)、どうしてそんなものを読んでいたの？$	그 거, 밤시중을 위한 책이지요? $1, 어째서 그런 것을 읽고 있었어?
$^いや、さすがにそこまでは言ってないけど……でも、夜伽に対して(.+?)がそこまで熱心だなんて、なんだか嬉しいなぁ。$	아니, 과연 거기까지는 말하지 않지만…… 그렇지만, 밤시중에 대해서$1가 거기까지 열심이다 라고, 왠지 기쁜데.
$^ああ、わかったよ。ごめんね、(.+?)。そのまま勉強続けてね。$	아, 알았어. 미안해요, $1. 그대로 공부 계속해.
$^あれ、どうしたの、(.+?)。なんだか難しい顔してるけど。$	저것, 무슨 일이야, $1. 왠지 어려운 얼굴 하고 있지만.
$^そりゃ当然だよ、(.+?)は俺のメイドなんだから、気に掛けるのは当然じゃないか。$	그렇다면 당연해, $1는 나의 메이드인 것이니까, 걱정하는 것은 당연하지 않은가.
$^なんだか不本意な笑われ方をしたけど……。(.+?)が笑ってくれて嬉しいよ。$	어쩐지 본의가 아닌 웃어지고 (분)편을 했지만……. $1가 웃어 주어 기뻐.
$^うん、わかった。それじゃ、ほどほどにね、(.+?)。$	응, 알았다. 그러면, 적당히, $1.
$^やあ、(.+?)。なに読んでるの？$	여, $1. 뭐 읽고 있는 거야?
$^わ、わかったけど……。(.+?)、もしかして照れてるの？$	원, 알았지만……. $1, 혹시 수줍어하고 있는 거야?
$^(.+?)、熱心に読んでるけど、それ何の本？$	$1, 열심히 읽고 있지만, 그것 무슨책?
$^あれ、それって夜伽の本だよね。へえ……(.+?)、この本を一生懸命読んでたんだ？$	저것, 그 거 밤시중의 책이지요. 헤에……$1, 이 책을 열심히 읽고 있었던 것이야?
$^え？　俺は別に(.+?)がエッチなんて、そんなこと一言も言ってないけど。$	네? 나는 별로 $1가 엣치이라니, 그런 일한마디도 말하지 않지만.
$^うん、ありがとう。夜伽楽しみにしてるね、(.+?)。$	응, 고마워요. 밤시중 기대하고 있네요, $1.
$^……ん？　あれ、(.+?)だ。そんなところで寝てたら風邪引くよ。$	…… 응? 저것, $1다. 그런 곳에서 자고 있으면 감기 걸린다.
$^夢じゃないよ、(.+?)。ほら、起きて。$	꿈이 아니야, $1. 이봐요, 일어나.
$^まあ、その……うん。(.+?)の寝顔、見ちゃったけど。$	뭐, 그…… 응. $1의 잠자는 얼굴, 봐 버렸지만.
$^でも(.+?)の寝顔、すごく可愛かったよ。$	그렇지만$1의 잠자는 얼굴, 굉장히 사랑스러웠어요.
$^そうか。それじゃあ俺も行くね、(.+?)。$	그런가. 그러면 나도 가네요, $1.
$^あれ、(.+?)、奇遇だね。こんなところで何を読んでるの？$	저것, $1, 우연이구나. 이런 곳에서 무엇을 읽고 있는 거야?
$^嫌いなんかじゃないよ。すごく嬉しい、(.+?)が俺の為に頑張ってくれて。$	싫은 따위가 아니야. 굉장히 기쁜, $1가 나를 위해서(때문에) 노력해 줘.
$^じゃあ(.+?)の奉仕、楽しみにしてるね。$	자 $1의 봉사, 기대하고 있네요.
$^わかったよ、(.+?)。楽しみは後に取っておく事にするよ。$	알았어, $1. 즐거움은 뒤로 취해 두는 일로 한다.
$^え、この花、(.+?)が活けたの？$	네, 이 꽃,$1가 활자리수의?
$^そうだね。少し不器用だけど、凄く綺麗だ。すごいね、(.+?)。$	그렇다. 조금 서투르지만, 굉장히 예쁘다. 굉장하다,$1.
$^なに、(.+?)？$	뭐야, $1?
$^でも、(.+?)の活けた花、綺麗だけどね。$	그렇지만, $1의 꽃꽂이, 예쁘지만 말야.
$^へえ！　確かに(.+?)の言う通り、とても綺麗に活けられてるね。$	에! 확실히 $1가 말하는 대로, 매우 예쁘게 활 차지고 있네요.
$^見事だなぁ。(.+?)が俺のメイドで嬉しいよ。$	훌륭하다. $1가 나의 메이드로 기뻐.
$^どう、(.+?)。今日の調子は？$	어때, $1. 오늘의 상태는?
$^うん、確かに見事だ。さすが、(.+?)だね。$	응, 확실히 훌륭하다. 과연, $1구나.
$^どうしたの、(.+?)。何か気に障ったかな？$	무슨 일이야,$1. 뭔가 비위에 거슬렸을까나?
$^え？　急にどうしたんだ、(.+?)。$	에? 갑자기 어쩐일이야, $1.
$^いや、すごいよ。見事だ。(.+?)、華道の先生になれるんじゃないか？$	아니, 굉장해. 훌륭하다. $1, 화도의 선생님이 될 수 있는 것이 아닌가?
$^そう？　……うん、でも(.+?)と同じぐらい綺麗だよ。これは思わず見入っちゃうな。$	그래? …… 응, 그렇지만$1과 같은 정도 예뻐. 이것은 무심코 주시해 버리는군.
$^そう？　綺麗な物に綺麗って言っただけだよ、(.+?)。普通の事だろ。$	그래? 예쁜 것에 예쁘다고 말한 것 뿐이야, $1. 보통 일일 것이다.
$^え？　急にどうしたの、(.+?)。$	네? 갑자기 무슨 일이야, $1.
$^ん？　よくわからないな。(.+?)は、自分の活け花の出来栄えに満足してないの？$	응? 잘 모르는구나. $1는, 자신의 활꽃의 솜씨에 만족하지 않는거야?
$^え、そんな事ないよ。(.+?)の活け花は確かに綺麗だけど、\1には敵わないよ。$	네, 그런 일 없어. $1의 활꽃은 확실히 예쁘지만, $1에는 이길 수 없어.
$^勿論だよ。……なんだ、(.+?)、そんな事を心配していたのか。$	물론이야. …… 무엇이다, $1, 그런 일을 걱정하고 있었는가.
$^ごめんごめん、そんなつもりじゃなかったんだ。でも、その心配は杞憂だよ。俺は(.+?)の事を一番見てるから。$	미안 미안, 그런 생각이 아니었던 것이다. 그렇지만, 그 걱정은 기우야. 나는$1의 일을 제일 보고 있기 때문에.
$^わあ、今日も見事だね、(.+?)の活けた花は。$	우와 오늘도 훌륭하다, $1의 꽃꽂이은.
$^でも、(.+?)の活け花を見ていなかったら、気付かなかった事かもしれないな。$	그렇지만, $1의 활꽃을 보지 않았으면, 깨닫지 않았던 것일지도 모르는구나.
$^これは、目を奪われるね……凄く綺麗だよ、(.+?)。それに、どこか可愛らしい感じもするし。$	이것은, 정신을 빼앗기네요…… 굉장히 예뻐, $1. 게다가, 어딘가 사랑스러운 느끼기도 하고.
$^ああ、勿論。花のように綺麗だし可愛いよ、(.+?)。$	아, 물론. 꽃과 같이 예쁘고 사랑스러워, $1.
$^いや、そうじゃなくて。(.+?)が一番だよ。\1が一番綺麗だ。$	아니, 그렇지 않아서. $1가 제일이야. $1가 제일 깨끗하다.
$^(.+?)が化粧してるのを見るの、なんだか楽しいけどね。$	$1가 화장하고 있는 것을 보는 것, 왠지 즐겁지만 말야.
$^え、本当？　俺はそうは思わないけど……(.+?)、お化粧上手だと思うよ。$	네, 사실? 나는 그렇게는 생각하지 않지만……$1, 화장 능숙하다고 생각한다.
$^可愛いね、(.+?)は。$	사랑스럽다, $1는.
$^ねぇ、(.+?)はメイクにどれぐらい時間をかけるの？$	응, $1는 메이크에 어느 정도 시간을 들이는 거야?
$^そうだよね、すっぴんでも(.+?)は可愛いと思うな。$	그렇네요, 맨얼굴에서도$1는 사랑스럽다고 생각하는구나.
$^……あれ？　(.+?)、なんだかいつもと違うね。$	…… 어? $1, 뭔가 평상시와 다른 것.
$^ちゃんとって言われてもな……。化粧しなくても(.+?)は綺麗だし。$	짱와라고 말해져도……. 화장하지 않아도$1는 예쁘고.
$^ねえ、(.+?)。$	저기, $1.
$^(.+?)は、どこか行きたいところはないの？$	$1는, 어딘가 가고 싶은 곳은 없는거야?
$^そうだね。じゃあプールに行けば、(.+?)の水着姿が見られるってわけか。$	그렇네. 그러면 풀에 가면,$1의 수영복 모습을 볼 수 있다는 것인가.
$^上手にできたね、(.+?)。$	제대로 했군요, $1.
$^え、それを俺の口から説明していいの？　今まさに口紅をしてる(.+?)の前で？$	네, 그것을 나의 입으로부터 설명해도 좋은거야? 지금 확실히 루즈를 하고 있는$1의 앞에서?
$^いや、でも(.+?)がどうしても聞きたいっていうなら話すよ。$	아니, 그렇지만$1이 아무래도 (듣)묻고 싶다고 말한다면 이야기한다.
$^(.+?)って、いつも綺麗にしてるよね。$	$1는, 언제나 예쁘게 하고 있네요.
$^そうだね。でも(.+?)はもう充分だと思うけどなぁ。$	그렇다. 그렇지만 $1은 이제(벌써) 충분하다고 생각하지만.
$^すごいね、(.+?)の向上心は俺も見習って、立派なご主人様にならないといけないな。$	굉장하다, $1의 향상심은 나도 본받아, 훌륭한 주인님이 되지 않으면 안 되는구나.
$^本当に？　ありがとう、そんな風に言ってくれるなんて。(.+?)はメイドの鑑だな。$	정말로? 고마워요, 그런 식으로 말해 주다니. $1는 메이드의 귀감이다.
$^おお、本当だ。(.+?)、本当に綺麗だよ。$	사실이다. $1, 정말로 예뻐.
$^気合が入ってるね、(.+?)。$	기합이 들어가있네요, $1.
$^化粧してる途中でも、(.+?)は充分綺麗だけどね。$	화장하고 있는 도중에도, $1는 충분히 깨끗하지만 말야.
$^なに？　あ、(.+?)もしかして……俺に構ってほしいの？$	뭐? 아, $1혹시…… 내가 상관하기를 원하는거야?
$^嬉しいな、(.+?)。そんなに想ってくれるなんて。$	기쁘다, $1. 그렇게 생각해 주다니.
$^毎日はどうかな……。(.+?)はメイドなんだし、仕事はしてもらわないと困るな。$	매일은 어떨까……. $1는 메이드인거고, 일은 해 받지 않으면 곤란하구나.
$^そうだなぁ……。それは、(.+?)の頑張り次第かな？$	그렇다……. 그것은, $1가 노력하는 대로일까?
$^やあ、(.+?)。すっかりご機嫌だね。$	야, $1. 완전히 기분이구나.
$^(.+?)は、女の人に触れるのってどう思う？$	$1는, 여자에게 접하는 것은 어떻게 생각해?
$^え？　素的な事……？　えーっと、そうだな、(.+?)を気持ち良くする方法か……$	네? 멋진 일……? 엣또, 그렇다, $1를 기분 좋게 하는 방법인가……
$^(.+?)の為になって、俺の為にもなる。まさに一石二鳥だね。$	$1에게 도움이 되어, 나를 위해서(때문에)도 된다. 확실히 일석이조구나.
$^まあね。それに、(.+?)が喜んでくれるなら良い気分だよ。$	그냥. 게다가, $1가 기뻐해 준다면 좋은 기분이야.
$^でも、本当に気持ち良さそうだね、(.+?)。$	그렇지만, 정말로 기분 좋은 것 같다, $1.
$^種類が違う？　それってどういうこと？　具体的に教えてくれないかな、(.+?)。$	종류가 달라? 그거라는건 어떻게 말하는 일? 구체적으로 가르쳐 주지 않을까, $1.
$^別に構わないでしょ。それとも(.+?)は、俺とするのが嫌なのか？$	별로 상관없지요. 그렇지 않으면 $1은, 나로 하는 것이 싫은 것인가?
$^はは、(.+?)は可愛いな。そんな恰好で照れてるなんて。$	는은, $1는 사랑스러운데. 그런 모습으로 수줍고 있다니.
$^(.+?)の色んな顔が見たくて、思わずね。悪気があるわけじゃないんだよ。$	$1의 여러 가지 얼굴을 보고 싶어서, 무심코. 악의가 있는 것이 아니어.
$^あれ、(.+?)、なんだか余裕だね。$	저것, $1, 뭔가 여유구나.
$^そうかそうか、(.+?)も成長してるって事だね。$	그런가 그런가, $1도 성장하고 있다는 일이구나.
$^ん、なんだい、(.+?)。$	응, 어떤거야, $1.
$^……そうか。嬉しいよ、(.+?)。でも俺は今の\1が好きだから、そのままでいいよ。$	…… 그런가. 기뻐, $1. 그렇지만 나는 지금의 $1를 좋아하기 때문에, 그대로 좋아.
$^あれ、(.+?)。掃除みたいだね。どうだい、仕事の方は。慣れないうちは、やっぱり大変？$	저것, $1. 청소같다. 어때, 일은. 익숙해지지 않는 동안은, 역시 큰 일?
