身長	신　장
フェイスラインに揃えた前髪。小顔作りにはかかせません。	페이스라인에 가지런히 한 앞머리. 소용모에는 거를 수 없습니다.
ゆるーりパーマ	부드러운 파마
ゆるーくパーマのかかった前髪。ゆるく可愛くふわふわと。	부드럽게 펌이 들어간 앞머리.\n부드럽고 사랑스럽게 부풀어 오른.
ラウンドカジュアル	라운드 캐주얼
丸っぽい印象のカジュアル系前髪。エアインテークがふんわりと。	둥글게 보이는 인상의 캐주얼한 앞머리.\n에어 인테이크가 부드럽게.
ラウンドショート	라운드 쇼트
シルエットが丸い印象の前髪。毛先はとってもチクチクですが、やはり丸い印象です。	실루엣이 둥근 인상의 앞머리.\n머리끝은 매우 뾰족뾰족합니다만, 역시 둥근 인상입니다.
ラウンドボブ	라운드 보브
サイドが首元まである前髪。サラッと丸みのあるシルエットがポイント。	옆머리가 목덜미까지 오는 앞머리.\n산뜻하게 둥근느낌의 실루엣이 포인트.
ワルキューレフロント	발키리 프런트
ほどよく遊ばせた前髪。ぴょこぴょこ多めにハネてます。	알맞게 놀게 만든 앞머리.굽실굽실 많이 하고 있습니다.
二つ分けヘアー	2개 나누기 헤어
二つに分けた前髪。おでこもよく見え、表情も映えます。	2개로 나눈 앞머리. 이마도 잘 보여, 표정도 빛납니다.
内ハネショート	우치하네 쇼트
内側にハネたショートな前髪。綺麗目にまとまっております。	안쪽으로 튀는 짧은 앞머리.\n예쁘게 정리되어 있습니다.
内ハネベリーショート	우치하네 배리 쇼트
内側にハネるかなり短い前髪。さわやかに可愛く決まります。	안쪽으로 튀는 상당히 짧은 앞머리.\n상쾌하고 사랑스러운 결정입니다.
和風ショート	일본식 쇼트
和風で短めな前髪。和の国に伝わるKAWAIIスタイル。	일본식으로 단째인 앞머리. 화의 나라에 전해지는KAWAII스타일.
和風ベリーショート	일본식 배리 쇼트
和風でかなり短めな前髪。お人形さんのようです。	일본식으로 꽤 단째인 앞머리. 인형씨와 같습니다.
おさげ用バインドヘアー	땋은 머리용 바인드 헤어
縛った髪《おさげ》用の後頭部。好きなおさげをさげましょう。	묶은 머리(머리를 늘어뜨린)용의 후두부. 좋아하는 땋은 머리를 들죠.
サイド用バインドヘアー	사이드용 바인드 헤어
サイド用バインドヘアー・R	사이드용 바인드 헤어ㆍR
縛った髪（サイドテール）用の後頭部。お好きなサイドテールを付けましょう。	묶은 머리(사이드 테일)용의 후두부.좋아하는 사이드 테일을 지을까요.
ツイン用バインドヘアー	트윈용 바인드 헤어
ツイン用バインドヘアー・前上寄り	트윈용 바인드 헤어ㆍ위
ツイン用バインドヘアー・前下寄り	트윈용 바인드 헤어ㆍ아래
縛った髪（ツインテール）用の後頭部。好きなツインテールを付けましょう。	묶은 머리카락（트윈테일）용의 후두부. 좋아하는 트윈테일을 붙입시다.
ポニーテール用ヘアー	포니테일용 헤어
縛った髪（ポニーテール）用の後頭部。お好みのポニーを付けましょう。	묶은 머리카락（포니테일）용의 후두부. 좋아하는 포니를 붙입시다.
エアリーショートパーマ	에어리 쇼트 파마
エアリーなパーマのかかった後髪。ちょっと段差がついています。	풍성한 파마의 걸린 후.좀 턱이 붙어 있습니다.
スポーティーショート	스포티 쇼트
かなり短めで、さわやかな後髪。スポーツの邪魔になりません。	꽤 짧고, 상쾌한 후.스포츠의 방해가 되지 않습니다.
ダブルレイヤーショート	더블 레이어 쇼트
二段になっている短めの後髪。セットするのが難しそう。	2단이 되어 있는 약간 짧은 듯한 후발. 세트 하는 것이 어려울 것 같다.
ベリーショート	배리 쇼트
かなり短めの後髪。爽やかで、お手入れもらくちん。	꽤 약간 짧은 듯한 후발. 상쾌해, 손질등 썩지 않아.
和風ショートヘアー	일본식 쇼트 헤어
和風で短めの後髪。さっぱりしてます。	일본식의 짧은 뒷머리.\n산뜻하게 하고 있습니다.
外ハネロング	소토하네 롱
ロングな後髪。左右が少し跳ねているのがポイント。	긴 뒷머리.\n좌우가 조금 튀는 것이 포인트.
縦巻きバックロール	세로말기 백 롤
縦巻きが四本ある後髪。インパクトはあるがセットが大変。	4가닥으로 세로로 감겨있는 뒷머리.\n임팩트는 있지만 만들기가 힘들다.
キューティセミロング	큐티 세미롱
キュートな後髪。長くもなく、短くもなく。	매력적인 후발. 긴 것도 아니고, 짧은 것도 아니고.
外ハネセミロング	소토하네 세미롱
外側に少しはねてる後髪。ちょうどいい長さです。	외측에 조금은 자고 있는 후발. 딱 좋은 길이입니다.
ウェーブロング	웨이브 롱
ウェーブした長めの後髪。ゆるふわしてます。	웨이브진 긴 뒷머리.\n자연스럽고 부드러운 모습입니다.
お嬢様結び	아가씨 매듭
上品に結われた後髪。お嬢様にとても似合いそうです。	품위있게 매듭지은 뒷머리.\n아가씨에게 잘 어울립니다.
キューティロール	큐티 롤
ウェーブのかかった長い後髪。キューティでくるっとしてます。	웨이브 있는 긴 뒷머리.큐티에서 휙 하고 있습니다.
サキュバスロング	서큐버스 롱
艶やかなサキュバスっぽい後髪。色気がむんむん滲み出るとか。	선명한 서큐버스는 뒷머리.성적 매력이 푹푹 배게.
サラツヤロング	사라츠야 롱
ストレートでロングな後髪。サラサラしています。	스트레이트하고 롱인 후발. 졸졸 하고 있습니다.
サラフワロング	사라후와 롱
さらさらふんわりな長めの後髪。サラフワしています。	보슬보슬 부드럽고 긴 뒷머리.\n사라후와 하고 있습니다.
チャーミングロング	챠밍 롱
長めで艶やかな後髪。チャーミングになれます。	길고 선명한 후.매력적으로 됩니다.
ふっくらロング	훗쿠라 롱
ふっくらと広がる長めの後髪。ツインテールにもぴったり。	부드럽게 부풀어 넓어지는 긴 뒷머리.\n트윈테일에도 딱.
フロントカール	프런트 컬
正面に流れる様にカールする後髪。ほどよいうねり具合です。	정면에 흐르게 휘기 뒷머리. 알맞게 넘실대는 식입니다.
リトルバインドロング	리틀 바인드 롱
先をちょっとだけ縛ったロングヘアー。武道を嗜む女の子に似合いそうです。	앞을 조금만 묶은 롱 헤어.무도를 즐기다 여자에게 어울립니다.
ワルキューレウェーブ	발키리 웨이브
とてつもなくウェーブのかかった後髪。くりんくりんくりんしてます。	엄청난 웨이브 있는 뒷머리.쿠 리은크 리은크 링 합니다.
前垂れ1本三つ編みおさげ	세가닥 땋아 앞으로 늘어뜨린 머리
前垂れ1本三つ編みおさげ・R	세가닥 땋아 앞으로 늘어뜨린 머리ㆍR
前に1本垂らした三つ編みのおさげ髪。きまぐれで後ろにも行きます。	전에 1개 늘어뜨린 땋의 가랑 머리. 눈치 없고, 뒤에도 갑니다.
おろし１本結び	하나로 묶어서 내린 매듭
おろし１本結びの後髪。ちょっとだけウェービー。	하나로 묶어서 내린 매듭의 뒷머리.\n아주 살짝 웨이브진.
プリンセス・バインド	프린세스ㆍ바인드
大きく編み込んだ後髪。上品な淑女にもお勧めです。通称『ビッグエビフライ』	크게 땋은 뒷머리.\n품위있는 숙녀에게 권장합니다. 통칭『큰 새우 튀김』
ミステリアスおさげ	미스테리어스 매듭
肩の前に垂れたおさげの後髪。前髪とは対照的にシンメトリ。	어깨 앞에 늘어진 땋은 머리의 뒷머리. 앞머리와 대조적으로 싱메 트리.
三つ編みおさげ	세가닥 땋아서 늘어뜨린 머리
三つ編みのおさげ髪。ほどくとかなり長そうです。	의 땋아서 늘어뜨린 머리머리카락. 풀면 꽤 긴 것 같습니다.
結わえた髪を外します。	묶음 헤어를 비웁니다.
LAMUNATION!・らむねもみあげ	LAMUNATION!ㆍ라무네 옆머리
WHITE POWDERコラボ。LAMUNATION!のらむねのもみあげ。	WHITE POWDER 콜라보.\nLAMUNATION!의 라무네의 옆머리.
ショートもみあげ	쇼트 옆머리
ショートなもみあげです。ガラッと印象を変えます。	쇼트인 귀밑털입니다. 가락과 인상을 바꿉니다.
ミドルもみあげ	미들 옆머리
ミドルなもみあげです。ガラッと印象を変えます。	미들인 귀밑털입니다. 가락과 인상을 바꿉니다.
ロングもみあげ	롱 옆머리
ロングなもみあげです。ガラッと印象を変えます。	롱인 귀밑털입니다. 가락과 인상을 바꿉니다.
LAMUNATION!・アイリスサイド	LAMUNATION!ㆍ아이리스 사이드
LAMUNATION!・アイリスサイド・R	LAMUNATION!ㆍ아이리스 사이드ㆍR
WHITE POWDERコラボ。LAMUNATION!のアイリスのサイド。	WHITE POWDER 콜라보.\nLAMUNATION!의 아이리스의 사이드.
LAMUNATION!・らむねサイド	LAMUNATION!ㆍ라무네 사이드
LAMUNATION!・らむねサイド・R	LAMUNATION!ㆍ라무네 사이드ㆍR
WHITE POWDERコラボ。LAMUNATION!のらむねのサイド。	WHITE POWDER 콜라보.\nLAMUNATION!의 라무네의 사이드.
エアリーロングサイドテール	애덤 어럴리 롱 사이드 테일
エアリーロングサイドテール・R	애덤 어럴리 롱 사이드 테일ㆍR
長めのサイドテール。毛先のまとまりがほど良く個性派。	길쭉한 사이드 테일. 털끝의 단결이 만큼 좋은 개성.
キューティサイドテール	큐티 사이드 테일
キューティサイドテール・R	큐티 사이드 테일ㆍR
キューティなサイドテール。少し幼く見えるかも？	큐티인 사이드 테일. 조금 어리게 보일지도?
ショートサイドテール	쇼트 사이드 테일
ショートサイドテール・R	쇼트 사이드 테일ㆍR
少し短めなサイドテール。ショートと言ってもそれなりにある。	조금 단째인 사이드 테일. 쇼트라고 말해도 그 나름대로 있다.
ショートロール	쇼트 롤
ショートロール・R	쇼트 롤ㆍR
短めのサイドテール。毛先がくるんとロールしてます。	짧은 사이드 테일.\n머리끝이 둥글게 말려져 있습니다.
ふんわりサイドポニー	사뿐히 사이드 포니
ふんわりサイドポニー・R	사뿐히 사이드 포니ㆍR
ふわふわふんわりサイドポニー。ふわふわしております。	둥둥 둥둥 사이드 포니. 편안하고 있습니다.
おだんごアップ	경단 업
お団子結びな結い上げ。アゲてイキましょう。	경단 매듭인 결 발하다. 뷰티는 이킵시다.
ショートポニーテール	쇼트 포니테일
少し短めなポニーテール。ザ・ポニーテールって感じです。	조금 단째인 포니테일. 더ㆍ포니테일이라는 느낌입니다.
LAMUNATION!・アイリスツイン	LAMUNATION!ㆍ아이리스 트윈
WHITE POWDERコラボ。LAMUNATION!のアイリスのツイン。	WHITE POWDER 콜라보.\nLAMUNATION!의 아이리스의 트윈.
LAMUNATION!・らむねツイン	LAMUNATION!ㆍ라무네 트윈
