主人公の名前を決めて下さい。	주인공의 이름을 결정해 주세요.
メイド秘書は少し言いにくそうに、けれどメイド秘書として気丈に告げる。	메이드 비서는 조금 말하기 어려운 듯, 하지만 메이드 비서로서 다부지게 알려준다.
本来ならば、ご主人様が初めて躾けたメイドは特別であり、ご主人様の『専属メイド』という立場が慣例となります。	본래라면, 주인님이 처음으로 예의범절을 가르친 메이드는 특별하기에, 주인님의 『전속 메이드』라고 하는 입장이 관례가 됩니다.
メイド秘書の言葉を俺は頭で整理する。	메이드 비서의 말을 나는 머리로 정리한다.
俺の言葉に、メイド秘書は静かに頷く。	나의 말에, 메이드 비서는 조용하게 수긍한다.
ご主人様、あの、さ……ご主人様がどんな選択をしようが、別にアタシはそれを受け入れるつもりはあるわ。	주인님, 저기, 말야…… 난 주인님이 어떤 선택을 하시더라도 받아들일 수 있어.
どこかの知らない誰かに抱かれるのはイヤだけど、そ、それがエンパイアクラブのメイドの仕事なんでしょ？	어딘가의 모르는 누군가에게 안기는 것은 싫지만, 그, 그게 엠파이어 클럽의 메이드의 일이지?
だったら、ご主人様は……エンパイアクラブのオーナーとして、正しい選択肢を選ぶべきよ。	그럼 주인님은…… 엠파이어 클럽의 오너로서 올바른 선택을 해야 해.
ご主人様、特に気にする必要は無いわ。エンパイアクラブのメイドとして……分かりきっていた事だもの。	주인님, 특별히 신경 쓸 필요는 없어. 엠파이어 클럽의 메이드로서…… 다 알고 있었던 일인 걸.
私が一人、当然の事をするだけで丸く収まるのでしょう？　……なら、別に、何も悩む必要は無い……と思うわ。	나 한사람이 당연한 일을 하는 걸로 원만하게 해결되겠지? …… 그러면 딱히 아무것도 고민할 필요는 없다…… 고 생각해.
……この話はもう、終わりでいいかしら？	…… 이 이야기는 이제 끝내도 좋을까?
……承知しました。	……알겠습니다.
正直に言ってしまいますと、お客様と夜伽をするなどと言う事は……ありえないと思っています。	솔직히 말씀드리면 손님의 밤시중을 드는 건……있을 수 없다고 생각하고 있습니다.
……ですが、それがエンパイアクラブのメイドとしての役目ならば、全うしなければならないという事も知っています。	……그렇지만 그 것이 엠파이어 클럽의 메이드로서의 역할이라면, 하지 않으면 안 된다고 것도 알고 있습니다.
私が出来る事があるのならば、それが何であろうとするのが義務……そう、覚悟しています。	제가 할 수 있는 일이 있다면, 그게 무엇이든 하는 것이 의무……그렇게 각오하고 있습니다.
……分かったよ、ご主人様。	……알았어, 주인님.
うーんと……やっぱりね。ご主人様だけならいいけど……お客様と、その、夜伽するのはイヤだなって思ってるよ。	으응……역시. 주인님뿐이라면 좋을 텐데……손님과 그, 밤시중하는 것은 싫다고 생각하고 있어.
でも、エンパイアクラブのメイドとして、できる事があるのならしたい、するべきだって思う。	그렇지만, 엠파이어 클럽의 메이드로서, 할 수 있는 것이 있다면 하고 싶고, 해야 한다고 생각해.
……だから、大丈夫。ご主人様の言う通りに、私は頑張るよ。	……그러니까, 괜찮아. 주인님이 말하는 대로, 내가 노력할게.
あのさ、当面の資金を用意する方法、何か無いかな？	그런데 말이야, 지금의 자금을 준비하는 방법, 뭔가 없을까?
俺は意を決して、メイド秘書にそう聞いていた。	나는 뜻을 바꾸지 않고, 메이드 비서에게 그렇게 물어보았다.
メイド秘書は少しだけ考え、一つ息をつく。	메이드 비서는 약간 생각하더니 하나의 대안을 알려줬다.
まぁ、それで借金はさらに増えてしまうけど。	뭐, 그래서 빚은 한층 더 증가해 버리지만요.
……何を迷う事があるのよ、ご主人様。答えなんて決まっているでしょ？	…… 뭘 망설이고 있는 거야, 주인님. 대답은 정해져 있잖아?
メイド秘書、資金を借りる話はメイド秘書に任せていいのかな？	메이드 비서, 자금을 빌리는 이야기는 메이드 비서에게 맡겨도 될까?
ご、ご主人様……何を考えているの？　普通に考えて、オーナーとして考えて、私にお客様の相手をさせるしか無いでしょう？	주, 주인님…… 뭘 생각하고 있는 거야? 평범하게 생각하면, 오너로서 생각하면 저에게 손님의 상대를 시킬 수 밖에 없잖아?
資金を借りる話はメイド秘書に任せていいのかな？	자금을 빌리는 이야기는 메이드 비서에게 맡겨도 좋은 것이겠지?
ご主人様、私のことは、どうか気にしないで下さい。ご主人様に無理をさせてしまうなんて……メイド失格です。	주인님, 저는 제발 신경쓰지 마세요. 주인님에게 무리를 시켜 버리다니……메이드 실격입니다.
ちょ、ちょっと待って！　ご主人様、無理しないで、私が我慢すればいいんだから、無理しちゃだめだよ！	자, 잠깐만 기다려!　주인님, 무리하지 마, 내가 참으면 되니까, 무리하면 안돼!
な、何言ってるのよっ！　ねぇ、何考えてるのよ、ご主人様。	무, 무슨 말이야! 저기, 무슨 생각하는 거야, 주인님.
だって、その……もしお金を返せなかったらどうするの？　ご主人様、そういうのは無謀って言うのよ！	왜냐하면, 그…… 만약 돈을 못 갚으면 어떻게 해? 주인님, 그런 건 무모하다고 하는거야!
……はぁ、何を言っているの。血迷ったのかしら……	…… 하아, 무슨 말을 하는 거야. 이성을 잃은 걸까……
ご主人様はもう少し、賢い人だと思っていたけれど……	주인님은 좀 더 똑똑한 사람이라고 생각하고 있었는데……
ご主人様、どうして……？	주인님, 왜……?
けれど、もしお金を返済できなかったら……？	그래도 만약 돈을 갚지 못하면……?
……ご主人様……なんでかな……？	……주인님……어째서일까……?
でも、もしってことがあるじゃないっ……！	그렇지만, 만약이라는 게 있잖아……!
……別に、そんなの、かっこよくないし……現実見てって言ってんの、ばか……！	…… 별로 그런 것 멋있지도 않고…… 현실을 보라고 말하는 거야, 바보……!
……何よ、もう……	…… 뭐야, 정말……
……そう、それが、その……ご主人様の矜持だというのなら、私は……	…… 그래, 그게 그…… 주인님의 긍지라고 한다면 나는……
ご主人様って、私以上に不器用な人間なのかもしれないわね。	주인님은 나 이상으로 서투른 사람인지도 모르겠네.
そうかもね？	그럴지도?
……ご主人様がこんなにロマンチストだなんて思わなかった。後悔しても知らないんだから。	…… 주인님이 이렇게 로맨티스트라고 생각하지 않았어. 후회해도 모른다니까.
っていうか、何？　ご主人様ってアタシの事が好きなの？　そんなに自分のものに……独占したい訳？	뭐랄까, 주인님은 나를 좋아해? 그렇게 자기 것으로…… 독점하고 싶은 거야?
そうかもね。	그럴지도.
なっ……！　何よ、何なのよもう……調子が狂うわね、うぅっ……	뭐……! 뭐야, 뭐야 정말…… 기분이 이상해져……
…………はあ、でもまぁ、それがご主人様が決めた事なら、アタシだって、出来る限りの事はするわよ。	………… 하아, 그래도 뭐, 그것이 주인님이 결정한 일이라면, 나도 할수 있는 일은 할거야.
一応、その……嬉しくなくは無いのよ。メイドの事を大切に思ってくれて……そこは、感謝してるわ。	일단 그…… 기쁘지 않은 건 아니야. 메이드를 소중히 생각해 줘서…… 그건 감사할게.
惚れた？	반했어?
勘違いしないでよね、ばーか。	착각 하지 마, 바보.
じゃ、色々大変だけど、これからよろしくね、ご主人様。	그럼 여러가지로 큰일이지만, 지금부터 잘 부탁해, 주인님.
